Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.mi2log

  [0.0s] 64 bytes, 0 packets decoded
  [0.0s] 128 bytes, 0 packets decoded
  [0.0s] 192 bytes, 0 packets decoded
  [0.0s] 256 bytes, 0 packets decoded
  [0.0s] 320 bytes, 0 packets decoded
  [0.0s] 384 bytes, 0 packets decoded
  [0.0s] 448 bytes, 0 packets decoded
  [0.0s] 512 bytes, 0 packets decoded
  [0.1s] 576 bytes, 0 packets decoded
  [0.1s] 640 bytes, 1 packets decoded
  [0.1s] 704 bytes, 2 packets decoded
  [0.1s] 768 bytes, 2 packets decoded
  [0.1s] 832 bytes, 3 packets decoded
  [0.1s] 896 bytes, 4 packets decoded
  [0.2s] 949 bytes, 5 packets decoded
  [1.5s] 1013 bytes, 6 packets decoded
  [1.5s] 1077 bytes, 6 packets decoded
  [1.5s] 1141 bytes, 7 packets decoded
  [1.5s] 1205 bytes, 8 packets decoded
  [1.5s] 1269 bytes, 8 packets decoded
  [1.5s] 1333 bytes, 9 packets decoded
  [1.5s] 1397 bytes, 9 packets decoded
  [1.5s] 1461 bytes, 10 packets decoded
  [1.5s] 1525 bytes, 11 packets decoded
  [1.5s] 1589 bytes, 11 packets decoded
  [1.5s] 1653 bytes, 11 packets decoded
  [1.5s] 1717 bytes, 11 packets decoded
  [1.5s] 1781 bytes, 12 packets decoded
  [1.5s] 1845 bytes, 13 packets decoded
  [1.5s] 1909 bytes, 14 packets decoded
  [1.5s] 1973 bytes, 15 packets decoded
  [1.5s] 2037 bytes, 15 packets decoded
  [1.5s] 2101 bytes, 16 packets decoded
  [1.5s] 2165 bytes, 16 packets decoded
  [1.5s] 2229 bytes, 17 packets decoded
  [1.5s] 2293 bytes, 18 packets decoded
  [1.5s] 2357 bytes, 19 packets decoded
  [1.5s] 2421 bytes, 19 packets decoded
  [1.5s] 2485 bytes, 19 packets decoded
  [1.5s] 2549 bytes, 19 packets decoded
  [1.5s] 2613 bytes, 19 packets decoded
  [1.5s] 2677 bytes, 19 packets decoded
  [1.5s] 2741 bytes, 19 packets decoded
  [1.5s] 2805 bytes, 20 packets decoded
  [1.5s] 2869 bytes, 21 packets decoded
  [1.5s] 2933 bytes, 22 packets decoded
  [1.5s] 2997 bytes, 23 packets decoded
  [1.5s] 3061 bytes, 24 packets decoded
  [1.5s] 3125 bytes, 24 packets decoded
  [1.5s] 3189 bytes, 24 packets decoded
  [1.5s] 3253 bytes, 24 packets decoded
  [1.5s] 3317 bytes, 24 packets decoded
  [1.5s] 3381 bytes, 24 packets decoded
  [1.5s] 3445 bytes, 24 packets decoded
  [1.5s] 3509 bytes, 24 packets decoded
  [1.5s] 3573 bytes, 24 packets decoded
  [1.5s] 3637 bytes, 24 packets decoded
  [1.5s] 3701 bytes, 24 packets decoded
  [1.5s] 3765 bytes, 24 packets decoded
  [1.5s] 3829 bytes, 24 packets decoded
  [1.5s] 3893 bytes, 25 packets decoded
  [1.5s] 3957 bytes, 25 packets decoded
  [1.5s] 4021 bytes, 26 packets decoded
  [1.5s] 4085 bytes, 27 packets decoded
  [1.5s] 4149 bytes, 28 packets decoded
  [1.5s] 4213 bytes, 28 packets decoded
  [1.5s] 4277 bytes, 28 packets decoded
  [1.5s] 4341 bytes, 28 packets decoded
  [1.5s] 4405 bytes, 28 packets decoded
  [1.5s] 4469 bytes, 28 packets decoded
  [1.5s] 4533 bytes, 28 packets decoded
  [1.5s] 4597 bytes, 28 packets decoded
  [1.5s] 4661 bytes, 29 packets decoded
  [1.5s] 4725 bytes, 30 packets decoded
  [1.5s] 4789 bytes, 30 packets decoded
  [1.5s] 4853 bytes, 30 packets decoded
  [1.5s] 4917 bytes, 30 packets decoded
  [1.5s] 4981 bytes, 31 packets decoded
  [1.5s] 5045 bytes, 32 packets decoded
  [1.5s] 5109 bytes, 33 packets decoded
  [1.5s] 5173 bytes, 33 packets decoded
  [1.5s] 5237 bytes, 33 packets decoded
  [1.5s] 5301 bytes, 33 packets decoded
  [1.5s] 5365 bytes, 34 packets decoded
  [1.5s] 5429 bytes, 34 packets decoded
  [1.5s] 5493 bytes, 34 packets decoded
  [1.5s] 5557 bytes, 34 packets decoded
  [1.5s] 5621 bytes, 34 packets decoded
  [1.5s] 5685 bytes, 35 packets decoded
  [1.5s] 5749 bytes, 35 packets decoded
  [1.5s] 5813 bytes, 36 packets decoded
  [1.5s] 5877 bytes, 37 packets decoded
  [1.5s] 5941 bytes, 38 packets decoded
  [1.5s] 6005 bytes, 39 packets decoded
  [1.5s] 6069 bytes, 40 packets decoded
  [1.5s] 6133 bytes, 41 packets decoded
  [1.5s] 6197 bytes, 41 packets decoded
  [1.5s] 6261 bytes, 41 packets decoded
  [1.5s] 6325 bytes, 42 packets decoded
  [1.5s] 6389 bytes, 43 packets decoded
  [1.5s] 6453 bytes, 44 packets decoded
  [1.5s] 6517 bytes, 44 packets decoded
  [1.5s] 6581 bytes, 45 packets decoded
  [1.5s] 6645 bytes, 45 packets decoded
  [1.5s] 6709 bytes, 46 packets decoded
  [1.5s] 6773 bytes, 46 packets decoded
  [1.5s] 6837 bytes, 47 packets decoded
  [1.5s] 6901 bytes, 48 packets decoded
  [1.5s] 6965 bytes, 48 packets decoded
  [1.5s] 7029 bytes, 49 packets decoded
  [1.5s] 7093 bytes, 50 packets decoded
  [1.5s] 7157 bytes, 50 packets decoded
  [1.5s] 7221 bytes, 50 packets decoded
  [1.5s] 7285 bytes, 50 packets decoded
  [1.5s] 7349 bytes, 51 packets decoded
  [1.5s] 7413 bytes, 51 packets decoded
  [1.5s] 7477 bytes, 51 packets decoded
  [1.5s] 7541 bytes, 52 packets decoded
  [1.5s] 7605 bytes, 53 packets decoded
  [1.5s] 7669 bytes, 53 packets decoded
  [1.5s] 7733 bytes, 54 packets decoded
  [1.5s] 7797 bytes, 55 packets decoded
  [1.5s] 7861 bytes, 56 packets decoded
  [1.5s] 7925 bytes, 57 packets decoded
  [1.5s] 7989 bytes, 57 packets decoded
  [1.5s] 8053 bytes, 58 packets decoded
  [1.5s] 8117 bytes, 59 packets decoded
  [1.5s] 8181 bytes, 59 packets decoded
  [1.5s] 8245 bytes, 59 packets decoded
  [1.5s] 8309 bytes, 59 packets decoded
  [1.5s] 8373 bytes, 59 packets decoded
  [1.5s] 8437 bytes, 60 packets decoded
  [1.5s] 8501 bytes, 60 packets decoded
  [1.5s] 8565 bytes, 60 packets decoded
  [1.5s] 8629 bytes, 60 packets decoded
  [1.5s] 8693 bytes, 60 packets decoded
  [1.5s] 8757 bytes, 60 packets decoded
  [1.5s] 8821 bytes, 60 packets decoded
  [1.5s] 8885 bytes, 61 packets decoded
  [1.5s] 8949 bytes, 62 packets decoded
  [1.5s] 9013 bytes, 63 packets decoded
  [1.5s] 9077 bytes, 63 packets decoded
  [1.5s] 9141 bytes, 64 packets decoded
  [1.5s] 9205 bytes, 64 packets decoded
  [1.5s] 9269 bytes, 65 packets decoded
  [1.5s] 9333 bytes, 66 packets decoded
  [1.5s] 9397 bytes, 66 packets decoded
  [1.5s] 9461 bytes, 67 packets decoded
  [1.5s] 9525 bytes, 67 packets decoded
  [1.5s] 9589 bytes, 67 packets decoded
  [1.5s] 9653 bytes, 68 packets decoded
  [1.5s] 9717 bytes, 68 packets decoded
  [1.5s] 9781 bytes, 69 packets decoded
  [1.5s] 9845 bytes, 69 packets decoded
  [1.5s] 9909 bytes, 70 packets decoded
  [1.5s] 9973 bytes, 70 packets decoded
  [1.5s] 10037 bytes, 70 packets decoded
  [1.5s] 10101 bytes, 70 packets decoded
  [1.5s] 10165 bytes, 70 packets decoded
  [1.5s] 10229 bytes, 70 packets decoded
  [1.5s] 10293 bytes, 70 packets decoded
  [1.5s] 10357 bytes, 70 packets decoded
  [1.5s] 10421 bytes, 70 packets decoded
  [1.5s] 10485 bytes, 70 packets decoded
  [1.5s] 10549 bytes, 71 packets decoded
  [1.5s] 10613 bytes, 71 packets decoded
  [1.5s] 10677 bytes, 71 packets decoded
  [1.5s] 10741 bytes, 71 packets decoded
  [1.5s] 10805 bytes, 71 packets decoded
  [1.5s] 10869 bytes, 71 packets decoded
  [1.5s] 10933 bytes, 71 packets decoded
  [1.5s] 10997 bytes, 71 packets decoded
  [1.5s] 11061 bytes, 72 packets decoded
  [1.5s] 11125 bytes, 73 packets decoded
  [1.5s] 11189 bytes, 74 packets decoded
  [1.5s] 11253 bytes, 74 packets decoded
  [1.5s] 11317 bytes, 74 packets decoded
  [1.5s] 11381 bytes, 74 packets decoded
  [1.5s] 11445 bytes, 74 packets decoded
  [1.5s] 11509 bytes, 75 packets decoded
  [1.5s] 11573 bytes, 75 packets decoded
  [1.5s] 11637 bytes, 75 packets decoded
  [1.5s] 11701 bytes, 76 packets decoded
  [1.5s] 11765 bytes, 76 packets decoded
  [1.5s] 11829 bytes, 77 packets decoded
  [1.5s] 11893 bytes, 77 packets decoded
  [1.5s] 11957 bytes, 77 packets decoded
  [1.5s] 12021 bytes, 78 packets decoded
  [1.5s] 12085 bytes, 78 packets decoded
  [1.5s] 12149 bytes, 78 packets decoded
  [1.5s] 12213 bytes, 79 packets decoded
  [1.5s] 12277 bytes, 79 packets decoded
  [1.5s] 12341 bytes, 79 packets decoded
  [1.5s] 12405 bytes, 79 packets decoded
  [1.5s] 12469 bytes, 80 packets decoded
  [1.5s] 12533 bytes, 80 packets decoded
  [1.5s] 12597 bytes, 81 packets decoded
  [1.5s] 12661 bytes, 81 packets decoded
  [1.5s] 12725 bytes, 81 packets decoded
  [1.5s] 12789 bytes, 81 packets decoded
  [1.5s] 12853 bytes, 81 packets decoded
  [1.5s] 12917 bytes, 81 packets decoded
  [1.5s] 12981 bytes, 81 packets decoded
  [1.5s] 13045 bytes, 81 packets decoded
  [1.5s] 13109 bytes, 81 packets decoded
  [1.5s] 13173 bytes, 81 packets decoded
  [1.5s] 13237 bytes, 81 packets decoded
  [1.5s] 13301 bytes, 81 packets decoded
  [1.5s] 13365 bytes, 81 packets decoded
  [1.5s] 13429 bytes, 81 packets decoded
  [1.5s] 13493 bytes, 81 packets decoded
  [1.5s] 13557 bytes, 81 packets decoded
  [1.5s] 13621 bytes, 81 packets decoded
  [1.5s] 13685 bytes, 82 packets decoded
  [1.5s] 13749 bytes, 82 packets decoded
  [1.5s] 13813 bytes, 82 packets decoded
  [1.5s] 13877 bytes, 82 packets decoded
  [1.5s] 13941 bytes, 83 packets decoded
  [1.5s] 14005 bytes, 83 packets decoded
  [1.5s] 14069 bytes, 83 packets decoded
  [1.5s] 14133 bytes, 83 packets decoded
  [1.5s] 14197 bytes, 83 packets decoded
  [1.5s] 14261 bytes, 84 packets decoded
  [1.5s] 14325 bytes, 84 packets decoded
  [1.5s] 14389 bytes, 84 packets decoded
  [1.5s] 14453 bytes, 84 packets decoded
  [1.5s] 14517 bytes, 84 packets decoded
  [1.5s] 14581 bytes, 84 packets decoded
  [1.5s] 14645 bytes, 84 packets decoded
  [1.5s] 14709 bytes, 85 packets decoded
  [1.5s] 14773 bytes, 85 packets decoded
  [1.5s] 14837 bytes, 85 packets decoded
  [1.5s] 14901 bytes, 86 packets decoded
  [1.5s] 14965 bytes, 86 packets decoded
  [1.5s] 15029 bytes, 86 packets decoded
  [1.5s] 15093 bytes, 86 packets decoded
  [1.5s] 15157 bytes, 86 packets decoded
  [1.5s] 15221 bytes, 87 packets decoded
  [1.5s] 15285 bytes, 87 packets decoded
  [1.5s] 15349 bytes, 87 packets decoded
  [1.5s] 15413 bytes, 88 packets decoded
  [1.5s] 15477 bytes, 89 packets decoded
  [1.5s] 15541 bytes, 89 packets decoded
  [1.5s] 15605 bytes, 89 packets decoded
  [1.5s] 15669 bytes, 89 packets decoded
  [1.5s] 15733 bytes, 89 packets decoded
  [1.5s] 15797 bytes, 90 packets decoded
  [1.5s] 15861 bytes, 90 packets decoded
  [1.5s] 15925 bytes, 91 packets decoded
  [1.5s] 15989 bytes, 92 packets decoded
  [1.5s] 16053 bytes, 92 packets decoded
  [1.5s] 16117 bytes, 92 packets decoded
  [1.5s] 16181 bytes, 92 packets decoded
  [1.5s] 16245 bytes, 92 packets decoded
  [1.5s] 16309 bytes, 92 packets decoded
  [1.5s] 16373 bytes, 92 packets decoded
  [1.5s] 16437 bytes, 93 packets decoded
  [1.5s] 16501 bytes, 93 packets decoded
  [1.5s] 16565 bytes, 93 packets decoded
  [1.6s] 16587 bytes, 94 packets decoded
  [2.3s] 16651 bytes, 94 packets decoded
  [2.3s] 16715 bytes, 94 packets decoded
  [2.3s] 16779 bytes, 94 packets decoded
  [2.3s] 16843 bytes, 94 packets decoded
  [2.3s] 16907 bytes, 94 packets decoded
  [2.3s] 16971 bytes, 94 packets decoded
  [2.3s] 17035 bytes, 94 packets decoded
  [2.3s] 17099 bytes, 94 packets decoded
  [2.3s] 17163 bytes, 94 packets decoded
  [2.3s] 17227 bytes, 94 packets decoded
  [2.3s] 17291 bytes, 94 packets decoded
  [2.3s] 17355 bytes, 94 packets decoded
  [2.3s] 17419 bytes, 94 packets decoded
  [2.3s] 17483 bytes, 94 packets decoded
  [2.3s] 17547 bytes, 94 packets decoded
  [2.3s] 17611 bytes, 94 packets decoded
  [2.3s] 17675 bytes, 94 packets decoded
  [2.3s] 17739 bytes, 94 packets decoded
  [2.3s] 17803 bytes, 94 packets decoded
  [2.3s] 17867 bytes, 94 packets decoded
  [2.3s] 17931 bytes, 94 packets decoded
  [2.3s] 17995 bytes, 94 packets decoded
  [2.3s] 18059 bytes, 94 packets decoded
  [2.3s] 18123 bytes, 94 packets decoded
  [2.3s] 18187 bytes, 94 packets decoded
  [2.3s] 18251 bytes, 94 packets decoded
  [2.3s] 18315 bytes, 94 packets decoded
  [2.3s] 18379 bytes, 94 packets decoded
  [2.3s] 18443 bytes, 94 packets decoded
  [2.3s] 18507 bytes, 95 packets decoded
  [2.3s] 18571 bytes, 95 packets decoded
  [2.3s] 18635 bytes, 95 packets decoded
  [2.3s] 18699 bytes, 95 packets decoded
  [2.3s] 18763 bytes, 96 packets decoded
  [2.3s] 18827 bytes, 96 packets decoded
  [2.3s] 18891 bytes, 96 packets decoded
  [2.3s] 18955 bytes, 96 packets decoded
  [2.3s] 19019 bytes, 96 packets decoded
  [2.3s] 19083 bytes, 97 packets decoded
  [2.3s] 19147 bytes, 97 packets decoded
  [2.3s] 19211 bytes, 97 packets decoded
  [2.3s] 19275 bytes, 97 packets decoded
  [2.3s] 19339 bytes, 97 packets decoded
  [2.3s] 19403 bytes, 97 packets decoded
  [2.3s] 19467 bytes, 97 packets decoded
  [2.3s] 19531 bytes, 97 packets decoded
  [2.3s] 19595 bytes, 97 packets decoded
  [2.3s] 19659 bytes, 97 packets decoded
  [2.3s] 19723 bytes, 97 packets decoded
  [2.3s] 19787 bytes, 97 packets decoded
  [2.3s] 19851 bytes, 98 packets decoded
