[gsm.current.phone-type]: [1,2]
[gsm.ims.type0]: [volte]
[gsm.lte.ca.support]: [1]
[gsm.network.type]: [LTE,Unknown]
[gsm.operator.alpha]: [airtel,Searching for Service]
[gsm.operator.iso-country]: [in,]
[gsm.operator.isroaming]: [false,false]
[gsm.operator.numeric]: [40410,]
[gsm.sim.operator.alpha]: [airtel]
[gsm.sim.operator.iso-country]: [in]
[gsm.sim.operator.numeric]: [40410]
[gsm.sim.state]: [LOADED,ABSENT]
[gsm.sim.sume]: [Airtel Services]
[gsm.sim2.sume]: []
[gsm.version.baseband]: [Q_V1_P14,Q_V1_P14]
[gsm.version.ril-impl]: [Qualcomm RIL 1.0]
[persist.oplus.network.vc_skip_account]: [0]
[persist.oplus.radio.signal_monitor_new_solution.config]: [true]
[persist.radio.airplane_mode_on]: [0]
[persist.radio.allow_mock_modem]: [false]
[persist.radio.hvolte.enable]: [1]
[persist.radio.multisim.config]: [dsds]
[persist.radio.nas.scorecalc]: [1]
[persist.sys.log.radio]: [20|10]
[persist.sys.oplus.network.nwpower.osysnetaction.state]: [0]
[persist.sys.oplus.radio.backoff_sa_cause_weak_signal.config]: [1,1,2,10,600,60,3,10,4,-110,-20,-5,-97,-10,0,-110,-20,0,10,30,5,0,1,3]
[persist.sys.oplus.radio.disable_set_simtype]: [true]
[persist.sys.oplus.radio.nas_recovery]: [509042432-0-52, 1117800444-0-52, 1551377163-0-52]
[persist.sys.oplus.radio.single_sim_config]: []
[persist.sys.radio.global_regionlock.allcheck]: [true]
[persist.vendor.oplus.radio.de_modemdump_cnt]: [0]
[persist.vendor.oplus.radio.oem_relay_oprt_change]: [1]
[persist.vendor.radio.adb_log_on]: [0]
[persist.vendor.radio.apm_sim_not_pwdn]: [1]
[persist.vendor.radio.atfwd.start]: [true]
[persist.vendor.radio.custom_ecc]: [1]
[persist.vendor.radio.enableadvancedscan]: [true]
[persist.vendor.radio.force_on_dc]: [true]
[persist.vendor.radio.mcc_change]: [404]
[persist.vendor.radio.poweron_opt]: [1]
[persist.vendor.radio.procedure_bytes]: [SKIP]
[persist.vendor.radio.process_sups_ind]: [1]
[persist.vendor.radio.ril_payload_on]: [0]
[persist.vendor.radio.sib16_support]: [1]
[persist.vendor.radio.stack_id_0]: [0]
[persist.vendor.radio.stack_id_1]: [1]
[persist.vendor.radio.virtualcomm]: [1]
[persist.vendor.radio.wait_for_pbm]: [0]
[ro.oplus.radio.auto_select_oem_cid]: [1165S1Y!Mobile_Softbank,1165S2Softbank4G_Softbank,1165S3Softbank5G_Softbank,1158_KDDI,1162S1DocomoMain_DocomoOCN]
[ro.oplus.radio.checkservice]: [true]
[ro.oplus.radio.dual_nr_enabled]: [true]
[ro.oplus.radio.dual_nr_toggle_enabled]: [false]
[ro.oplus.radio.global_regionlock.dynamic]: [true]
[ro.oplus.radio.lte_rsrp_thresholds]: [-126,-121,-114,-105,-44]
[ro.oplus.radio.mdm_dump_uevent_tag]: [msm_subsys]
[ro.oplus.radio.modem_reset_time]: [20]
[ro.oplus.radio.nrca_support]: [true]
[ro.oplus.radio.project]: [2]
[ro.oplus.radio.region_netlock_disable]: [true]
[ro.oplus.radio.sido.pid]: [4424]
[ro.oplus.radio.sub_slot_support_sa]: [0]
[ro.oplus.radio.vonr_status]: [1]
[ro.telephony.default_network]: [26,26]
[ro.vendor.oplus.radio.carrier_detect_mode]: [1]
[ro.vendor.oplus.radio.project]: [1]
[ro.vendor.oplus.radio.sar_regionmark]: [IN]
[ro.vendor.oplus.radio.serialno]: [8bacbbe6]
[sys.oplus.radio.carrier.ringtone]: [1]
[sys.oplus.radio.disable_vooc]: [false]
[sys.oplus.radio.rffeature]: [654377056]
[vendor.gsm.serial]: [002288104826171100002147]
[vendor.oplus.radio.cdma_flag]: [1]
[vendor.oplus.radio.dynamic_nvimg_version]: [0]
[vendor.oplus.radio.factory.no]: [IN-04]
[vendor.oplus.radio.static_nvimg_version]: [33f608]
[vendor.radio.db_state]: [3]
[vendor.radio.qcril_pre_init_lock_held]: [0]
