Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.mi2log

  [0.0s] 64 bytes, 0 packets decoded
  [0.0s] 128 bytes, 0 packets decoded
  [0.0s] 192 bytes, 0 packets decoded
  [0.0s] 256 bytes, 0 packets decoded
  [0.0s] 320 bytes, 0 packets decoded
  [0.0s] 384 bytes, 0 packets decoded
  [0.0s] 448 bytes, 0 packets decoded
  [0.0s] 512 bytes, 0 packets decoded
  [0.1s] 550 bytes, 0 packets decoded
  [1.4s] 614 bytes, 1 packets decoded
  [1.4s] 678 bytes, 2 packets decoded
  [1.4s] 742 bytes, 2 packets decoded
  [1.4s] 806 bytes, 3 packets decoded
  [1.4s] 870 bytes, 4 packets decoded
  [1.4s] 934 bytes, 5 packets decoded
  [1.4s] 998 bytes, 5 packets decoded
  [1.4s] 1062 bytes, 6 packets decoded
  [1.4s] 1126 bytes, 7 packets decoded
  [1.4s] 1190 bytes, 8 packets decoded
  [1.4s] 1254 bytes, 9 packets decoded
  [1.4s] 1318 bytes, 9 packets decoded
  [1.4s] 1382 bytes, 9 packets decoded
  [1.4s] 1446 bytes, 10 packets decoded
  [1.4s] 1510 bytes, 10 packets decoded
  [1.4s] 1574 bytes, 11 packets decoded
  [1.4s] 1638 bytes, 12 packets decoded
  [1.4s] 1702 bytes, 13 packets decoded
  [1.4s] 1766 bytes, 13 packets decoded
  [1.4s] 1830 bytes, 14 packets decoded
  [1.4s] 1894 bytes, 15 packets decoded
  [1.4s] 1958 bytes, 15 packets decoded
  [1.4s] 2022 bytes, 15 packets decoded
  [1.4s] 2086 bytes, 15 packets decoded
  [1.4s] 2150 bytes, 15 packets decoded
  [1.4s] 2214 bytes, 15 packets decoded
  [1.4s] 2278 bytes, 15 packets decoded
  [1.4s] 2342 bytes, 15 packets decoded
  [1.4s] 2406 bytes, 16 packets decoded
  [1.4s] 2470 bytes, 16 packets decoded
  [1.4s] 2534 bytes, 17 packets decoded
  [1.4s] 2598 bytes, 18 packets decoded
  [1.4s] 2662 bytes, 18 packets decoded
  [1.4s] 2726 bytes, 19 packets decoded
  [1.4s] 2790 bytes, 20 packets decoded
  [1.4s] 2854 bytes, 21 packets decoded
  [1.4s] 2918 bytes, 22 packets decoded
  [1.4s] 2982 bytes, 22 packets decoded
  [1.4s] 3046 bytes, 23 packets decoded
  [1.4s] 3110 bytes, 24 packets decoded
  [1.4s] 3174 bytes, 24 packets decoded
  [1.4s] 3238 bytes, 25 packets decoded
  [1.4s] 3302 bytes, 25 packets decoded
  [1.4s] 3366 bytes, 25 packets decoded
  [1.4s] 3430 bytes, 25 packets decoded
  [1.4s] 3494 bytes, 25 packets decoded
  [1.4s] 3558 bytes, 25 packets decoded
