Timestamp_Epoch,DateTime,Activity,State,Info
1775476494.928979758,2026-04-06 17:24:54.933,TrafficBurst,START,Duration=75
1775476571.783191635,2026-04-06 17:26:11.785,TrafficBurst,STOP,
1775476572.134849996,2026-04-06 17:26:12.135,GuardBand,START,Duration=7
1775476579.241866135,2026-04-06 17:26:19.246,GuardBand,STOP,
1775476579.293163351,2026-04-06 17:26:19.296,TrafficBurst,START,Duration=83
1775476666.418216524,2026-04-06 17:27:46.422,TrafficBurst,STOP,
1775476666.470242825,2026-04-06 17:27:46.473,GuardBand,START,Duration=7
1775476673.522315570,2026-04-06 17:27:53.527,GuardBand,STOP,
1775476683.691450738,2026-04-06 17:28:03.692,GuardBand,START,Duration=7
1775476690.742544558,2026-04-06 17:28:10.747,GuardBand,STOP,
1775476696.019830065,2026-04-06 17:28:16.021,TrafficBurst,START,Duration=46
1775476742.233255302,2026-04-06 17:29:02.237,TrafficBurst,STOP,
1775476742.505020515,2026-04-06 17:29:02.506,GuardBand,START,Duration=7
1775476749.636409177,2026-04-06 17:29:09.641,GuardBand,STOP,
1775476749.701288134,2026-04-06 17:29:09.706,TrafficBurst,START,Duration=63
