PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=1 ttl=116 time=46.0 ms
1408 bytes from 8.8.8.8: icmp_seq=2 ttl=116 time=34.3 ms
1408 bytes from 8.8.8.8: icmp_seq=3 ttl=116 time=27.6 ms
1408 bytes from 8.8.8.8: icmp_seq=4 ttl=116 time=28.2 ms
1408 bytes from 8.8.8.8: icmp_seq=5 ttl=116 time=33.0 ms
1408 bytes from 8.8.8.8: icmp_seq=6 ttl=116 time=28.4 ms
1408 bytes from 8.8.8.8: icmp_seq=7 ttl=116 time=28.5 ms
1408 bytes from 8.8.8.8: icmp_seq=8 ttl=116 time=27.7 ms
1408 bytes from 8.8.8.8: icmp_seq=9 ttl=116 time=35.3 ms
1408 bytes from 8.8.8.8: icmp_seq=10 ttl=116 time=25.6 ms
1408 bytes from 8.8.8.8: icmp_seq=11 ttl=116 time=25.1 ms
1408 bytes from 8.8.8.8: icmp_seq=12 ttl=116 time=31.1 ms
1408 bytes from 8.8.8.8: icmp_seq=13 ttl=116 time=27.1 ms
1408 bytes from 8.8.8.8: icmp_seq=14 ttl=116 time=34.6 ms
1408 bytes from 8.8.8.8: icmp_seq=15 ttl=116 time=48.0 ms
1408 bytes from 8.8.8.8: icmp_seq=16 ttl=116 time=32.5 ms
1408 bytes from 8.8.8.8: icmp_seq=17 ttl=116 time=33.0 ms
1408 bytes from 8.8.8.8: icmp_seq=18 ttl=116 time=40.1 ms
1408 bytes from 8.8.8.8: icmp_seq=19 ttl=116 time=63.6 ms
1408 bytes from 8.8.8.8: icmp_seq=20 ttl=116 time=29.0 ms
1408 bytes from 8.8.8.8: icmp_seq=21 ttl=116 time=54.4 ms
1408 bytes from 8.8.8.8: icmp_seq=22 ttl=116 time=55.2 ms
1408 bytes from 8.8.8.8: icmp_seq=23 ttl=116 time=52.9 ms
1408 bytes from 8.8.8.8: icmp_seq=24 ttl=116 time=52.2 ms
1408 bytes from 8.8.8.8: icmp_seq=25 ttl=116 time=34.7 ms
1408 bytes from 8.8.8.8: icmp_seq=26 ttl=116 time=27.0 ms
1408 bytes from 8.8.8.8: icmp_seq=27 ttl=116 time=27.3 ms
1408 bytes from 8.8.8.8: icmp_seq=28 ttl=116 time=30.1 ms
1408 bytes from 8.8.8.8: icmp_seq=29 ttl=116 time=27.8 ms
1408 bytes from 8.8.8.8: icmp_seq=30 ttl=116 time=27.6 ms
1408 bytes from 8.8.8.8: icmp_seq=31 ttl=116 time=40.6 ms
1408 bytes from 8.8.8.8: icmp_seq=32 ttl=116 time=27.2 ms
1408 bytes from 8.8.8.8: icmp_seq=33 ttl=116 time=35.0 ms
1408 bytes from 8.8.8.8: icmp_seq=34 ttl=116 time=30.2 ms
1408 bytes from 8.8.8.8: icmp_seq=35 ttl=116 time=42.9 ms
1408 bytes from 8.8.8.8: icmp_seq=36 ttl=116 time=25.9 ms
1408 bytes from 8.8.8.8: icmp_seq=37 ttl=116 time=30.6 ms
1408 bytes from 8.8.8.8: icmp_seq=38 ttl=116 time=39.6 ms
1408 bytes from 8.8.8.8: icmp_seq=39 ttl=116 time=36.5 ms
1408 bytes from 8.8.8.8: icmp_seq=40 ttl=116 time=29.1 ms
1408 bytes from 8.8.8.8: icmp_seq=41 ttl=116 time=39.9 ms
1408 bytes from 8.8.8.8: icmp_seq=42 ttl=116 time=27.4 ms
1408 bytes from 8.8.8.8: icmp_seq=43 ttl=116 time=38.7 ms
1408 bytes from 8.8.8.8: icmp_seq=44 ttl=116 time=37.0 ms
1408 bytes from 8.8.8.8: icmp_seq=45 ttl=116 time=44.2 ms
1408 bytes from 8.8.8.8: icmp_seq=46 ttl=116 time=35.6 ms
1408 bytes from 8.8.8.8: icmp_seq=47 ttl=116 time=39.4 ms
1408 bytes from 8.8.8.8: icmp_seq=48 ttl=116 time=34.6 ms
