Timestamp_Epoch,DateTime,Activity,State,Info
1775560334.517646588,2026-04-07 16:42:14.521,UploadStress,START,Duration=49
1775560388.909881377,2026-04-07 16:43:08.910,UploadStress,STOP,
1775560389.039379150,2026-04-07 16:43:09.044,GuardBand,START,Duration=7
1775560396.099188666,2026-04-07 16:43:16.104,GuardBand,STOP,
1775560396.166685693,2026-04-07 16:43:16.171,DataToggle,START,Duration=88
1775560564.618855123,2026-04-07 16:46:04.620,DataToggle,STOP,
1775560564.663967988,2026-04-07 16:46:04.667,GuardBand,START,Duration=7
1775560571.737749393,2026-04-07 16:46:11.738,GuardBand,STOP,
1775560576.984534160,2026-04-07 16:46:16.990,TrafficBurst,START,Duration=45
1775560623.228237742,2026-04-07 16:47:03.233,TrafficBurst,STOP,
1775560623.445732925,2026-04-07 16:47:03.446,GuardBand,START,Duration=7
1775560630.572921099,2026-04-07 16:47:10.575,GuardBand,STOP,
1775560630.623343434,2026-04-07 16:47:10.624,Browsing,START,Duration=63
1775560698.266556632,2026-04-07 16:48:18.272,Browsing,STOP,
1775560698.464550338,2026-04-07 16:48:18.469,GuardBand,START,Duration=7
1775560705.521211793,2026-04-07 16:48:25.527,GuardBand,STOP,
1775560705.598702978,2026-04-07 16:48:25.600,UploadBG,START,
1775560705.643268683,2026-04-07 16:48:25.644,VoiceCall,START,Number=9310524847|Duration=78
1775560788.880229955,2026-04-07 16:49:48.882,VoiceCall,STOP,
1775560788.975091863,2026-04-07 16:49:48.979,GuardBand,START,Duration=7
1775560796.029710698,2026-04-07 16:49:56.030,GuardBand,STOP,
1775560796.060143722,2026-04-07 16:49:56.062,Browsing,START,Duration=59
1775560856.487604236,2026-04-07 16:50:56.492,Browsing,STOP,
1775560856.615067673,2026-04-07 16:50:56.619,GuardBand,START,Duration=7
1775560863.674022887,2026-04-07 16:51:03.678,GuardBand,STOP,
1775560869.108891389,2026-04-07 16:51:09.113,Browsing,START,Duration=76
1775560947.273364381,2026-04-07 16:52:27.278,Browsing,STOP,
1775560947.475155017,2026-04-07 16:52:27.478,GuardBand,START,Duration=7
1775560954.564410525,2026-04-07 16:52:34.569,GuardBand,STOP,
1775560954.655247669,2026-04-07 16:52:34.659,VoiceCall,START,Number=9310524847|Duration=61
1775561020.939106689,2026-04-07 16:53:40.941,VoiceCall,STOP,
1775561020.985391422,2026-04-07 16:53:40.988,GuardBand,START,Duration=7
1775561028.049863136,2026-04-07 16:53:48.054,GuardBand,STOP,
1775561028.119810955,2026-04-07 16:53:48.125,UploadStress,START,Duration=79
1775561112.468674573,2026-04-07 16:55:12.469,UploadStress,STOP,
1775561112.643026127,2026-04-07 16:55:12.647,GuardBand,START,Duration=7
1775561119.707725000,2026-04-07 16:55:19.712,GuardBand,STOP,
1775561119.778813140,2026-04-07 16:55:19.783,UploadBG,START,
1775561167.606847623,2026-04-07 16:56:07.611,GuardBand,START,Duration=7
1775561174.769949574,2026-04-07 16:56:14.773,GuardBand,STOP,
1775561174.836133057,2026-04-07 16:56:14.841,UploadStress,START,Duration=73
1775561253.265060020,2026-04-07 16:57:33.266,UploadStress,STOP,
1775561253.397619801,2026-04-07 16:57:33.402,GuardBand,START,Duration=7
1775561260.456244567,2026-04-07 16:57:40.461,GuardBand,STOP,
1775561260.525237251,2026-04-07 16:57:40.530,DataToggle,START,Duration=71
1775561411.799811998,2026-04-07 17:00:11.804,DataToggle,STOP,
1775561411.858977046,2026-04-07 17:00:11.860,GuardBand,START,Duration=7
1775561418.927877893,2026-04-07 17:00:18.932,GuardBand,STOP,
1775561424.390189622,2026-04-07 17:00:24.395,Browsing,START,Duration=60
1775561484.801251328,2026-04-07 17:01:24.806,Browsing,STOP,
1775561484.941115417,2026-04-07 17:01:24.942,GuardBand,START,Duration=7
1775561492.017768331,2026-04-07 17:01:32.022,GuardBand,STOP,
1775561492.083165939,2026-04-07 17:01:32.088,DataToggle,START,Duration=70
1775561642.595380963,2026-04-07 17:04:02.600,DataToggle,STOP,
1775561642.658595474,2026-04-07 17:04:02.663,GuardBand,START,Duration=7
1775561649.732966511,2026-04-07 17:04:09.737,GuardBand,STOP,
1775561649.809564443,2026-04-07 17:04:09.815,UploadBG,START,
1775561728.627803045,2026-04-07 17:05:28.632,GuardBand,START,Duration=7
1775561735.739930220,2026-04-07 17:05:35.744,GuardBand,STOP,
1775561745.876833054,2026-04-07 17:05:45.879,GuardBand,START,Duration=7
1775561752.918026993,2026-04-07 17:05:52.922,GuardBand,STOP,
1775561758.350878399,2026-04-07 17:05:58.352,YouTube,START,Duration=49
1775561861.982370456,2026-04-07 17:07:41.985,YouTube,STOP,
