PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=1 ttl=117 time=53.8 ms
1408 bytes from 8.8.8.8: icmp_seq=2 ttl=117 time=33.2 ms
1408 bytes from 8.8.8.8: icmp_seq=3 ttl=117 time=32.1 ms
1408 bytes from 8.8.8.8: icmp_seq=4 ttl=117 time=25.7 ms
1408 bytes from 8.8.8.8: icmp_seq=5 ttl=117 time=44.0 ms
1408 bytes from 8.8.8.8: icmp_seq=6 ttl=117 time=33.8 ms
1408 bytes from 8.8.8.8: icmp_seq=7 ttl=117 time=28.4 ms
1408 bytes from 8.8.8.8: icmp_seq=8 ttl=117 time=27.2 ms
1408 bytes from 8.8.8.8: icmp_seq=9 ttl=117 time=29.3 ms
1408 bytes from 8.8.8.8: icmp_seq=10 ttl=117 time=25.4 ms
1408 bytes from 8.8.8.8: icmp_seq=11 ttl=117 time=29.2 ms
1408 bytes from 8.8.8.8: icmp_seq=12 ttl=117 time=26.3 ms
1408 bytes from 8.8.8.8: icmp_seq=13 ttl=117 time=30.3 ms
1408 bytes from 8.8.8.8: icmp_seq=14 ttl=117 time=44.3 ms
1408 bytes from 8.8.8.8: icmp_seq=15 ttl=117 time=44.5 ms
1408 bytes from 8.8.8.8: icmp_seq=16 ttl=117 time=43.2 ms
1408 bytes from 8.8.8.8: icmp_seq=17 ttl=117 time=83.9 ms
1408 bytes from 8.8.8.8: icmp_seq=18 ttl=117 time=36.5 ms
1408 bytes from 8.8.8.8: icmp_seq=19 ttl=117 time=89.2 ms
1408 bytes from 8.8.8.8: icmp_seq=20 ttl=117 time=115 ms
1408 bytes from 8.8.8.8: icmp_seq=21 ttl=117 time=229 ms
1408 bytes from 8.8.8.8: icmp_seq=22 ttl=117 time=40.0 ms
1408 bytes from 8.8.8.8: icmp_seq=23 ttl=117 time=40.7 ms
1408 bytes from 8.8.8.8: icmp_seq=24 ttl=117 time=169 ms
1408 bytes from 8.8.8.8: icmp_seq=25 ttl=117 time=41.6 ms
1408 bytes from 8.8.8.8: icmp_seq=26 ttl=117 time=63.5 ms
1408 bytes from 8.8.8.8: icmp_seq=27 ttl=117 time=66.6 ms
1408 bytes from 8.8.8.8: icmp_seq=28 ttl=117 time=38.1 ms
1408 bytes from 8.8.8.8: icmp_seq=29 ttl=117 time=36.8 ms
1408 bytes from 8.8.8.8: icmp_seq=30 ttl=117 time=29.7 ms
1408 bytes from 8.8.8.8: icmp_seq=31 ttl=117 time=103 ms
1408 bytes from 8.8.8.8: icmp_seq=32 ttl=117 time=34.8 ms
1408 bytes from 8.8.8.8: icmp_seq=33 ttl=117 time=48.9 ms
1408 bytes from 8.8.8.8: icmp_seq=34 ttl=117 time=33.3 ms
1408 bytes from 8.8.8.8: icmp_seq=35 ttl=117 time=32.2 ms
1408 bytes from 8.8.8.8: icmp_seq=36 ttl=117 time=100 ms
1408 bytes from 8.8.8.8: icmp_seq=37 ttl=117 time=95.8 ms
1408 bytes from 8.8.8.8: icmp_seq=38 ttl=117 time=125 ms
1408 bytes from 8.8.8.8: icmp_seq=39 ttl=117 time=40.0 ms
1408 bytes from 8.8.8.8: icmp_seq=40 ttl=117 time=49.0 ms
1408 bytes from 8.8.8.8: icmp_seq=41 ttl=117 time=28.0 ms
1408 bytes from 8.8.8.8: icmp_seq=42 ttl=117 time=122 ms
1408 bytes from 8.8.8.8: icmp_seq=43 ttl=117 time=52.7 ms
1408 bytes from 8.8.8.8: icmp_seq=44 ttl=117 time=26.0 ms
1408 bytes from 8.8.8.8: icmp_seq=45 ttl=117 time=70.4 ms
1408 bytes from 8.8.8.8: icmp_seq=46 ttl=117 time=74.8 ms
1408 bytes from 8.8.8.8: icmp_seq=47 ttl=117 time=47.9 ms
1408 bytes from 8.8.8.8: icmp_seq=48 ttl=117 time=69.7 ms
1408 bytes from 8.8.8.8: icmp_seq=49 ttl=117 time=167 ms
