Timestamp_Epoch,DateTime,Activity,State,Info
1776682664.286822876,2026-04-20 16:27:44.288,Browsing,START,Duration=70
1776682735.245840256,2026-04-20 16:28:55.250,Browsing,STOP,
1776682735.392942297,2026-04-20 16:28:55.396,GuardBand,START,Duration=7
1776682742.438568803,2026-04-20 16:29:02.440,GuardBand,STOP,
1776682742.476896928,2026-04-20 16:29:02.479,VoiceCall,START,Number=9310524847|Duration=88
1776682835.787572235,2026-04-20 16:30:35.792,VoiceCall,STOP,
1776682835.859886439,2026-04-20 16:30:35.865,GuardBand,START,Duration=7
1776682842.904439125,2026-04-20 16:30:42.905,GuardBand,STOP,
1776682929.860052305,2026-04-20 16:32:09.864,GuardBand,START,Duration=7
1776682937.084918923,2026-04-20 16:32:17.089,GuardBand,STOP,
1776682942.369744632,2026-04-20 16:32:22.374,TrafficBurst,START,Duration=64
1776683009.748410796,2026-04-20 16:33:29.750,TrafficBurst,STOP,
1776683010.090042951,2026-04-20 16:33:30.091,GuardBand,START,Duration=7
1776683017.129322140,2026-04-20 16:33:37.134,GuardBand,STOP,
1776683017.181293697,2026-04-20 16:33:37.182,Download,START,Duration=52
1776683069.801772603,2026-04-20 16:34:29.806,Download,STOP,
1776683069.923742485,2026-04-20 16:34:29.924,GuardBand,START,Duration=7
1776683076.966097745,2026-04-20 16:34:36.967,GuardBand,STOP,
1776683077.019795963,2026-04-20 16:34:37.021,TrafficBurst,START,Duration=46
1776683123.758170498,2026-04-20 16:35:23.763,TrafficBurst,STOP,
1776683123.810377487,2026-04-20 16:35:23.815,GuardBand,START,Duration=7
1776683130.869379361,2026-04-20 16:35:30.870,GuardBand,STOP,
1776683130.909827511,2026-04-20 16:35:30.910,Browsing,START,Duration=86
1776683220.619259785,2026-04-20 16:37:00.624,Browsing,STOP,
1776683220.867002890,2026-04-20 16:37:00.871,GuardBand,START,Duration=7
1776683227.939969839,2026-04-20 16:37:07.940,GuardBand,STOP,
1776683233.185015218,2026-04-20 16:37:13.189,TrafficBurst,START,Duration=75
1776683310.794094158,2026-04-20 16:38:30.798,TrafficBurst,STOP,
1776683311.115545692,2026-04-20 16:38:31.116,GuardBand,START,Duration=7
1776683318.230028080,2026-04-20 16:38:38.231,GuardBand,STOP,
1776683318.282972311,2026-04-20 16:38:38.286,VoiceCall,START,Number=9310524847|Duration=69
1776683392.486837387,2026-04-20 16:39:52.491,VoiceCall,STOP,
1776683392.551114900,2026-04-20 16:39:52.555,GuardBand,START,Duration=7
1776683399.615728019,2026-04-20 16:39:59.620,GuardBand,STOP,
1776683399.683612912,2026-04-20 16:39:59.688,TrafficBurst,START,Duration=62
1776683461.785920784,2026-04-20 16:41:01.787,TrafficBurst,STOP,
1776683461.804767467,2026-04-20 16:41:01.805,GuardBand,START,Duration=7
1776683468.830137694,2026-04-20 16:41:08.832,GuardBand,STOP,
1776683474.315007728,2026-04-20 16:41:14.316,Browsing,START,Duration=66
1776683543.000898207,2026-04-20 16:42:23.002,Browsing,STOP,
1776683543.116598348,2026-04-20 16:42:23.117,GuardBand,START,Duration=7
1776683550.242336287,2026-04-20 16:42:30.248,GuardBand,STOP,
1776683550.284772363,2026-04-20 16:42:30.285,Browsing,START,Duration=70
